2025-04-15 17:14:57 startup archives install
2025-04-15 17:14:57 install base-passwd:amd64 <none> 3.6.6
2025-04-15 17:14:57 status half-installed base-passwd:amd64 3.6.6
2025-04-15 17:14:57 status unpacked base-passwd:amd64 3.6.6
2025-04-15 17:14:57 configure base-passwd:amd64 3.6.6 3.6.6
2025-04-15 17:14:57 status half-configured base-passwd:amd64 3.6.6
2025-04-15 17:14:57 status installed base-passwd:amd64 3.6.6
2025-04-15 17:14:57 startup archives install
2025-04-15 17:14:57 install base-files:amd64 <none> 13.6ubuntu2
2025-04-15 17:14:57 status half-installed base-files:amd64 13.6ubuntu2
2025-04-15 17:14:57 status unpacked base-files:amd64 13.6ubuntu2
2025-04-15 17:14:57 configure base-files:amd64 13.6ubuntu2 13.6ubuntu2
2025-04-15 17:14:58 status half-configured base-files:amd64 13.6ubuntu2
2025-04-15 17:14:58 status installed base-files:amd64 13.6ubuntu2
2025-04-15 17:14:58 startup archives install
2025-04-15 17:14:58 upgrade dpkg 1.22.18ubuntu2 1.22.18ubuntu2
2025-04-15 17:14:58 status half-configured dpkg 1.22.18ubuntu2
2025-04-15 17:14:58 status unpacked dpkg 1.22.18ubuntu2
2025-04-15 17:14:58 status half-installed dpkg 1.22.18ubuntu2
2025-04-15 17:14:58 status unpacked dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:14:58 configure dpkg:amd64 1.22.18ubuntu2 1.22.18ubuntu2
2025-04-15 17:14:58 status half-configured dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:14:58 status installed dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:14:58 startup archives install
2025-04-15 17:14:58 install libc6:amd64 <none> 2.41-6ubuntu1
2025-04-15 17:14:58 status half-installed libc6:amd64 2.41-6ubuntu1
2025-04-15 17:14:58 status unpacked libc6:amd64 2.41-6ubuntu1
2025-04-15 17:14:58 configure libc6:amd64 2.41-6ubuntu1 2.41-6ubuntu1
2025-04-15 17:14:58 status half-configured libc6:amd64 2.41-6ubuntu1
2025-04-15 17:14:58 status installed libc6:amd64 2.41-6ubuntu1
2025-04-15 17:14:58 startup archives install
2025-04-15 17:14:58 install perl-base:amd64 <none> 5.40.1-2
2025-04-15 17:14:58 status half-installed perl-base:amd64 5.40.1-2
2025-04-15 17:14:59 status unpacked perl-base:amd64 5.40.1-2
2025-04-15 17:14:59 configure perl-base:amd64 5.40.1-2 5.40.1-2
2025-04-15 17:14:59 status half-configured perl-base:amd64 5.40.1-2
2025-04-15 17:14:59 status installed perl-base:amd64 5.40.1-2
2025-04-15 17:14:59 startup archives install
2025-04-15 17:14:59 install mawk:amd64 <none> 1.3.4.20250131-1
2025-04-15 17:14:59 status half-installed mawk:amd64 1.3.4.20250131-1
2025-04-15 17:14:59 status unpacked mawk:amd64 1.3.4.20250131-1
2025-04-15 17:14:59 configure mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-04-15 17:14:59 status half-configured mawk:amd64 1.3.4.20250131-1
2025-04-15 17:14:59 status installed mawk:amd64 1.3.4.20250131-1
2025-04-15 17:14:59 startup archives install
2025-04-15 17:14:59 install debconf:all <none> 1.5.87ubuntu1
2025-04-15 17:14:59 status half-installed debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 configure debconf:all 1.5.87ubuntu1 1.5.87ubuntu1
2025-04-15 17:14:59 status half-configured debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 status installed debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 startup archives unpack
2025-04-15 17:14:59 upgrade base-files:amd64 13.6ubuntu2 13.6ubuntu2
2025-04-15 17:14:59 status half-configured base-files:amd64 13.6ubuntu2
2025-04-15 17:14:59 status unpacked base-files:amd64 13.6ubuntu2
2025-04-15 17:14:59 status half-installed base-files:amd64 13.6ubuntu2
2025-04-15 17:14:59 status unpacked base-files:amd64 13.6ubuntu2
2025-04-15 17:14:59 upgrade base-passwd:amd64 3.6.6 3.6.6
2025-04-15 17:14:59 status half-configured base-passwd:amd64 3.6.6
2025-04-15 17:14:59 status unpacked base-passwd:amd64 3.6.6
2025-04-15 17:14:59 status half-installed base-passwd:amd64 3.6.6
2025-04-15 17:14:59 status unpacked base-passwd:amd64 3.6.6
2025-04-15 17:14:59 install bash:amd64 <none> 5.2.37-1.1ubuntu1
2025-04-15 17:14:59 status half-installed bash:amd64 5.2.37-1.1ubuntu1
2025-04-15 17:14:59 status unpacked bash:amd64 5.2.37-1.1ubuntu1
2025-04-15 17:14:59 install bsdutils:amd64 <none> 1:2.40.2-14ubuntu1
2025-04-15 17:14:59 status half-installed bsdutils:amd64 1:2.40.2-14ubuntu1
2025-04-15 17:14:59 status unpacked bsdutils:amd64 1:2.40.2-14ubuntu1
2025-04-15 17:14:59 install coreutils:amd64 <none> 9.5-1ubuntu1
2025-04-15 17:14:59 status half-installed coreutils:amd64 9.5-1ubuntu1
2025-04-15 17:14:59 status unpacked coreutils:amd64 9.5-1ubuntu1
2025-04-15 17:14:59 install dash:amd64 <none> 0.5.12-12ubuntu1
2025-04-15 17:14:59 status half-installed dash:amd64 0.5.12-12ubuntu1
2025-04-15 17:14:59 status unpacked dash:amd64 0.5.12-12ubuntu1
2025-04-15 17:14:59 upgrade debconf:all 1.5.87ubuntu1 1.5.87ubuntu1
2025-04-15 17:14:59 status half-configured debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 status half-installed debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:14:59 install debianutils:amd64 <none> 5.21
2025-04-15 17:14:59 status half-installed debianutils:amd64 5.21
2025-04-15 17:14:59 status unpacked debianutils:amd64 5.21
2025-04-15 17:14:59 install diffutils:amd64 <none> 1:3.10-3
2025-04-15 17:14:59 status half-installed diffutils:amd64 1:3.10-3
2025-04-15 17:15:00 status unpacked diffutils:amd64 1:3.10-3
2025-04-15 17:15:00 upgrade dpkg:amd64 1.22.18ubuntu2 1.22.18ubuntu2
2025-04-15 17:15:00 status half-configured dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:15:00 status unpacked dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:15:00 status half-installed dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:15:00 status unpacked dpkg:amd64 1.22.18ubuntu2
2025-04-15 17:15:00 install e2fsprogs:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:00 status half-installed e2fsprogs:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:00 status unpacked e2fsprogs:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:00 install findutils:amd64 <none> 4.10.0-3
2025-04-15 17:15:00 status half-installed findutils:amd64 4.10.0-3
2025-04-15 17:15:00 status unpacked findutils:amd64 4.10.0-3
2025-04-15 17:15:00 install gcc-14-base:amd64 <none> 14.2.0-19ubuntu2
2025-04-15 17:15:00 status half-installed gcc-14-base:amd64 14.2.0-19ubuntu2
2025-04-15 17:15:00 status unpacked gcc-14-base:amd64 14.2.0-19ubuntu2
2025-04-15 17:15:00 install gcc-15-base:amd64 <none> 15-20250404-0ubuntu1
2025-04-15 17:15:00 status half-installed gcc-15-base:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:00 status unpacked gcc-15-base:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:00 install grep:amd64 <none> 3.11-4build1
2025-04-15 17:15:00 status half-installed grep:amd64 3.11-4build1
2025-04-15 17:15:00 status unpacked grep:amd64 3.11-4build1
2025-04-15 17:15:00 install gzip:amd64 <none> 1.13-1ubuntu3
2025-04-15 17:15:00 status half-installed gzip:amd64 1.13-1ubuntu3
2025-04-15 17:15:00 status unpacked gzip:amd64 1.13-1ubuntu3
2025-04-15 17:15:00 install hostname:amd64 <none> 3.25
2025-04-15 17:15:00 status half-installed hostname:amd64 3.25
2025-04-15 17:15:00 status unpacked hostname:amd64 3.25
2025-04-15 17:15:00 install init-system-helpers:all <none> 1.68
2025-04-15 17:15:00 status half-installed init-system-helpers:all 1.68
2025-04-15 17:15:00 status unpacked init-system-helpers:all 1.68
2025-04-15 17:15:00 install libacl1:amd64 <none> 2.3.2-2
2025-04-15 17:15:00 status half-installed libacl1:amd64 2.3.2-2
2025-04-15 17:15:00 status unpacked libacl1:amd64 2.3.2-2
2025-04-15 17:15:00 install libattr1:amd64 <none> 1:2.5.2-3
2025-04-15 17:15:00 status half-installed libattr1:amd64 1:2.5.2-3
2025-04-15 17:15:00 status unpacked libattr1:amd64 1:2.5.2-3
2025-04-15 17:15:00 install libaudit-common:all <none> 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 status half-installed libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 status unpacked libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 install libaudit1:amd64 <none> 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 status half-installed libaudit1:amd64 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 status unpacked libaudit1:amd64 1:4.0.2-2ubuntu2
2025-04-15 17:15:00 install libblkid1:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:00 status half-installed libblkid1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:00 status unpacked libblkid1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:00 install libbsd0:amd64 <none> 0.12.2-2
2025-04-15 17:15:00 status half-installed libbsd0:amd64 0.12.2-2
2025-04-15 17:15:00 status unpacked libbsd0:amd64 0.12.2-2
2025-04-15 17:15:00 install libbz2-1.0:amd64 <none> 1.0.8-6
2025-04-15 17:15:00 status half-installed libbz2-1.0:amd64 1.0.8-6
2025-04-15 17:15:00 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-04-15 17:15:00 install libc-bin:amd64 <none> 2.41-6ubuntu1
2025-04-15 17:15:00 status half-installed libc-bin:amd64 2.41-6ubuntu1
2025-04-15 17:15:00 status unpacked libc-bin:amd64 2.41-6ubuntu1
2025-04-15 17:15:00 upgrade libc6:amd64 2.41-6ubuntu1 2.41-6ubuntu1
2025-04-15 17:15:00 status half-configured libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:00 status unpacked libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:00 status half-installed libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:01 status unpacked libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:01 install libcap-ng0:amd64 <none> 0.8.5-4build1
2025-04-15 17:15:01 status half-installed libcap-ng0:amd64 0.8.5-4build1
2025-04-15 17:15:01 status unpacked libcap-ng0:amd64 0.8.5-4build1
2025-04-15 17:15:01 install libcap2:amd64 <none> 1:2.73-4ubuntu1
2025-04-15 17:15:01 status half-installed libcap2:amd64 1:2.73-4ubuntu1
2025-04-15 17:15:01 status unpacked libcap2:amd64 1:2.73-4ubuntu1
2025-04-15 17:15:01 install libcom-err2:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:01 status half-installed libcom-err2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 status unpacked libcom-err2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 install libcrypt1:amd64 <none> 1:4.4.38-1
2025-04-15 17:15:01 status half-installed libcrypt1:amd64 1:4.4.38-1
2025-04-15 17:15:01 status unpacked libcrypt1:amd64 1:4.4.38-1
2025-04-15 17:15:01 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2025-04-15 17:15:01 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:01 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:01 install libdebconfclient0:amd64 <none> 0.277ubuntu1
2025-04-15 17:15:01 status half-installed libdebconfclient0:amd64 0.277ubuntu1
2025-04-15 17:15:01 status unpacked libdebconfclient0:amd64 0.277ubuntu1
2025-04-15 17:15:01 install libext2fs2t64:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:01 status half-installed libext2fs2t64:amd64 1.47.2-1ubuntu1
