2025-09-12 18:51:32 startup archives unpack
2025-09-12 18:51:32 upgrade libxml2:i386 2.9.13+dfsg-1ubuntu0.7 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:32 status half-configured libxml2:i386 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status unpacked libxml2:i386 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status half-configured libxml2:amd64 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status half-installed libxml2:i386 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status unpacked libxml2:i386 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 upgrade libxml2:amd64 2.9.13+dfsg-1ubuntu0.7 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status half-installed libxml2:amd64 2.9.13+dfsg-1ubuntu0.7
2025-09-12 18:51:32 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 startup packages configure
2025-09-12 18:51:32 configure libxml2:amd64 2.9.13+dfsg-1ubuntu0.9 <none>
2025-09-12 18:51:32 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 status half-configured libxml2:amd64 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:32 status installed libxml2:amd64 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:33 configure libxml2:i386 2.9.13+dfsg-1ubuntu0.9 <none>
2025-09-12 18:51:33 status unpacked libxml2:i386 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:33 status half-configured libxml2:i386 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:33 status installed libxml2:i386 2.9.13+dfsg-1ubuntu0.9
2025-09-12 18:51:33 trigproc libc-bin:amd64 2.35-0ubuntu3.10 <none>
2025-09-12 18:51:33 status half-configured libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:33 status installed libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:36 startup archives unpack
2025-09-12 18:51:37 upgrade python3-apport:all 2.20.11-0ubuntu82.9 2.20.11-0ubuntu82.10
2025-09-12 18:51:37 status half-configured python3-apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status unpacked python3-apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status half-installed python3-apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status unpacked python3-apport:all 2.20.11-0ubuntu82.10
2025-09-12 18:51:37 upgrade apport:all 2.20.11-0ubuntu82.9 2.20.11-0ubuntu82.10
2025-09-12 18:51:37 status half-configured apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status unpacked apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status half-installed apport:all 2.20.11-0ubuntu82.9
2025-09-12 18:51:37 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-09-12 18:51:37 status triggers-pending man-db:amd64 2.10.2-1
2025-09-12 18:51:37 status unpacked apport:all 2.20.11-0ubuntu82.10
2025-09-12 18:51:37 startup packages configure
2025-09-12 18:51:37 configure python3-apport:all 2.20.11-0ubuntu82.10 <none>
2025-09-12 18:51:37 status unpacked python3-apport:all 2.20.11-0ubuntu82.10
