2025-11-23 15:26:34 startup archives unpack
2025-11-23 15:26:39 upgrade git:amd64 1:2.34.1-1ubuntu1.12 1:2.34.1-1ubuntu1.15
2025-11-23 15:26:39 status half-configured git:amd64 1:2.34.1-1ubuntu1.12
2025-11-23 15:26:39 status unpacked git:amd64 1:2.34.1-1ubuntu1.12
2025-11-23 15:26:39 status half-installed git:amd64 1:2.34.1-1ubuntu1.12
2025-11-23 15:26:40 status unpacked git:amd64 1:2.34.1-1ubuntu1.15
2025-11-23 15:26:41 startup packages configure
2025-11-23 15:26:41 configure git:amd64 1:2.34.1-1ubuntu1.15 <none>
2025-11-23 15:26:41 status unpacked git:amd64 1:2.34.1-1ubuntu1.15
2025-11-23 15:26:41 status half-configured git:amd64 1:2.34.1-1ubuntu1.15
2025-11-23 15:26:41 status installed git:amd64 1:2.34.1-1ubuntu1.15
2025-11-23 15:27:24 startup archives unpack
2025-11-23 15:27:25 install wmdocker:amd64 <none> 1.5-2
2025-11-23 15:27:25 status half-installed wmdocker:amd64 1.5-2
2025-11-23 15:27:25 status triggers-pending man-db:amd64 2.10.2-1
2025-11-23 15:27:25 status unpacked wmdocker:amd64 1.5-2
2025-11-23 15:27:25 install docker:all <none> 1.5-2
2025-11-23 15:27:25 status half-installed docker:all 1.5-2
2025-11-23 15:27:25 status unpacked docker:all 1.5-2
2025-11-23 15:27:25 startup packages configure
2025-11-23 15:27:25 configure wmdocker:amd64 1.5-2 <none>
2025-11-23 15:27:25 status unpacked wmdocker:amd64 1.5-2
2025-11-23 15:27:25 status half-configured wmdocker:amd64 1.5-2
2025-11-23 15:27:25 status installed wmdocker:amd64 1.5-2
2025-11-23 15:27:25 configure docker:all 1.5-2 <none>
2025-11-23 15:27:25 status unpacked docker:all 1.5-2
2025-11-23 15:27:25 status half-configured docker:all 1.5-2
2025-11-23 15:27:25 status installed docker:all 1.5-2
2025-11-23 15:27:25 trigproc man-db:amd64 2.10.2-1 <none>
2025-11-23 15:27:25 status half-configured man-db:amd64 2.10.2-1
2025-11-23 15:27:28 status installed man-db:amd64 2.10.2-1
2025-11-23 15:27:50 startup archives unpack
2025-11-23 15:27:50 install libprotobuf-lite23:amd64 <none> 3.12.4-1ubuntu7.22.04.4
2025-11-23 15:27:50 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-11-23 15:27:50 status half-installed libprotobuf-lite23:amd64 3.12.4-1ubuntu7.22.04.4
2025-11-23 15:27:50 status unpacked libprotobuf-lite23:amd64 3.12.4-1ubuntu7.22.04.4
