ts_iso,container,stream,message
 2025-09-12T00:00:00.000000192Z ,nginx, stdout , 172.17.0.252 - - [2025/09/12:00:00:00 +0000]   GET /login HTTP/1.1   200 50   -     Go-http-client/1.1  
 2025-09-12T00:00:00.000000275Z ,app, stdout , INFO request handled ok 1
 2025-09-12T00:00:00.000000499Z ,nginx, stdout , 172.17.0.118 - - [2025/09/12:00:00:00 +0000]   GET /static/logo.png HTTP/1.1   200 1502   -     k6/0.50  
 2025-09-12T00:00:00.000000855Z ,app, stderr , FATAL db connection failed: timeout
 2025-09-12T00:00:00.000000904Z ,nginx, stdout , 172.17.0.92 - - [2025/09/12:00:00:00 +0000]   GET /notfound HTTP/1.1   404 147   -     curl/8.4.0  
 2025-09-12T00:00:01.000000466Z ,app, stdout , INFO request handled ok 2
 2025-09-12T00:00:01.000000475Z ,nginx, stdout , 172.17.0.166 - - [2025/09/12:00:00:01 +0000]   GET / HTTP/1.1   200 765   -     Mozilla/5.0  
 2025-09-12T00:00:01.000000699Z ,nginx, stdout , 172.17.0.76 - - [2025/09/12:00:00:01 +0000]   GET /static/logo.png HTTP/1.1   200 1602   -     curl/8.4.0  
 2025-09-12T00:00:01.000000712Z ,app, stdout , INFO request handled ok 3
 2025-09-12T00:00:01.000000917Z ,nginx, stdout , 172.17.0.11 - - [2025/09/12:00:00:01 +0000]   GET /api HTTP/1.1   200 1273   -     Mozilla/5.0  
 2025-09-12T00:00:02.000000303Z ,app, stdout , INFO request handled ok 4
 2025-09-12T00:00:02.000000313Z ,nginx, stdout , 172.17.0.84 - - [2025/09/12:00:00:02 +0000]   GET /static/logo.png HTTP/1.1   200 16   -     Go-http-client/1.1  
 2025-09-12T00:00:02.000000378Z ,app, stdout , INFO request handled ok 5
 2025-09-12T00:00:02.000000656Z ,nginx, stdout , 172.17.0.110 - - [2025/09/12:00:00:02 +0000]   GET /health HTTP/1.1   404 187   -     curl/8.4.0  
 2025-09-12T00:00:02.000000810Z ,nginx, stdout , 172.17.0.8 - - [2025/09/12:00:00:02 +0000]   GET / HTTP/1.1   200 1527   -     curl/8.4.0  
 2025-09-12T00:00:03.000000343Z ,nginx, stdout , 172.17.0.238 - - [2025/09/12:00:00:03 +0000]   GET /login HTTP/1.1   200 1198   -     curl/8.4.0  
 2025-09-12T00:00:03.000000609Z ,app, stdout , INFO request handled ok 7
 2025-09-12T00:00:03.000000622Z ,nginx, stdout , 172.17.0.8 - - [2025/09/12:00:00:03 +0000]   GET / HTTP/1.1   200 1369   -     k6/0.50  
 2025-09-12T00:00:03.000000739Z ,nginx, stdout , 172.17.0.254 - - [2025/09/12:00:00:03 +0000]   GET /api HTTP/1.1   200 380   -     Go-http-client/1.1  
 2025-09-12T00:00:03.000000779Z ,app, stdout , INFO request handled ok 6
 2025-09-12T00:00:04.000000217Z ,nginx, stdout , 172.17.0.13 - - [2025/09/12:00:00:04 +0000]   GET /notfound HTTP/1.1   200 1922   -     curl/8.4.0  
 2025-09-12T00:00:04.000000249Z ,nginx, stdout , 172.17.0.209 - - [2025/09/12:00:00:04 +0000]   GET /notfound HTTP/1.1   404 1441   -     curl/8.4.0  
 2025-09-12T00:00:04.000000426Z ,app, stdout , INFO request handled ok 9
 2025-09-12T00:00:04.000000725Z ,nginx, stdout , 172.17.0.211 - - [2025/09/12:00:00:04 +0000]   GET /notfound HTTP/1.1   404 291   -     Go-http-client/1.1  
 2025-09-12T00:00:04.000000740Z ,app, stdout , INFO request handled ok 8
 2025-09-12T00:00:05.000000170Z ,nginx, stdout , 172.17.0.117 - - [2025/09/12:00:00:05 +0000]   GET /login HTTP/1.1   500 249   -     curl/8.4.0  
 2025-09-12T00:00:05.000000202Z ,nginx, stdout , 172.17.0.148 - - [2025/09/12:00:00:05 +0000]   GET /login HTTP/1.1   200 115   -     curl/8.4.0  
 2025-09-12T00:00:05.000000355Z ,app, stdout , INFO request handled ok 11
 2025-09-12T00:00:05.000000598Z ,app, stdout , INFO request handled ok 10
 2025-09-12T00:00:05.000000773Z ,nginx, stdout , 172.17.0.13 - - [2025/09/12:00:00:05 +0000]   GET /api HTTP/1.1   200 1882   -     Go-http-client/1.1  
 2025-09-12T00:00:06.000000012Z ,app, stdout , INFO request handled ok 12
 2025-09-12T00:00:06.000000222Z ,nginx, stdout , 172.17.0.212 - - [2025/09/12:00:00:06 +0000]   GET /notfound HTTP/1.1   200 994   -     k6/0.50  
 2025-09-12T00:00:06.000000480Z ,nginx, stdout , 172.17.0.145 - - [2025/09/12:00:00:06 +0000]   GET /static/logo.png HTTP/1.1   200 1161   -     k6/0.50  
 2025-09-12T00:00:06.000000874Z ,app, stdout , INFO request handled ok 13
 2025-09-12T00:00:06.000000946Z ,nginx, stdout , 172.17.0.141 - - [2025/09/12:00:00:06 +0000]   GET / HTTP/1.1   200 429   -     k6/0.50  
 2025-09-12T00:00:07.000000403Z ,nginx, stdout , 172.17.0.5 - - [2025/09/12:00:00:07 +0000]   GET / HTTP/1.1   200 1151   -     Mozilla/5.0  
 2025-09-12T00:00:07.000000419Z ,nginx, stdout , 172.17.0.38 - - [2025/09/12:00:00:07 +0000]   GET /login HTTP/1.1   200 1401   -     k6/0.50  
 2025-09-12T00:00:07.000000471Z ,nginx, stdout , 172.17.0.224 - - [2025/09/12:00:00:07 +0000]   GET / HTTP/1.1   404 1842   -     Go-http-client/1.1  
 2025-09-12T00:00:07.000000645Z ,app, stdout , INFO request handled ok 15
 2025-09-12T00:00:07.000000926Z ,app, stdout , INFO request handled ok 14
 2025-09-12T00:00:08.000000029Z ,nginx, stdout , 172.17.0.27 - - [2025/09/12:00:00:08 +0000]   GET /api HTTP/1.1   200 159   -     curl/8.4.0  
 2025-09-12T00:00:08.000000287Z ,nginx, stdout , 172.17.0.115 - - [2025/09/12:00:00:08 +0000]   GET / HTTP/1.1   200 1478   -     curl/8.4.0  
 2025-09-12T00:00:08.000000344Z ,nginx, stderr , [error] 12#12: *1 upstream timed out (110: Connection timed out) while reading response header from upstream
 2025-09-12T00:00:08.000000839Z ,app, stdout , INFO request handled ok 16
 2025-09-12T00:00:08.000000880Z ,app, stdout , INFO request handled ok 17
 2025-09-12T00:00:09.000000562Z ,nginx, stdout , 172.17.0.243 - - [2025/09/12:00:00:09 +0000]   GET /static/logo.png HTTP/1.1   200 234   -     Mozilla/5.0  
 2025-09-12T00:00:09.000000660Z ,app, stdout , INFO request handled ok 19
 2025-09-12T00:00:09.000000711Z ,nginx, stdout , 172.17.0.244 - - [2025/09/12:00:00:09 +0000]   GET /api HTTP/1.1   500 1489   -     curl/8.4.0  
 2025-09-12T00:00:09.000000971Z ,app, stdout , INFO request handled ok 18
 2025-09-12T00:00:09.000000986Z ,nginx, stdout , 172.17.0.82 - - [2025/09/12:00:00:09 +0000]   GET /api HTTP/1.1   500 1163   -     Go-http-client/1.1  
 2025-09-12T00:00:10.000000006Z ,nginx, stdout , 172.17.0.196 - - [2025/09/12:00:00:10 +0000]   GET / HTTP/1.1   200 213   -     k6/0.50  
 2025-09-12T00:00:10.000000058Z ,nginx, stdout , 172.17.0.152 - - [2025/09/12:00:00:10 +0000]   GET /api HTTP/1.1   200 307   -     Go-http-client/1.1  
 2025-09-12T00:00:10.000000252Z ,app, stdout , INFO request handled ok 21
 2025-09-12T00:00:10.000000908Z ,nginx, stdout , 172.17.0.136 - - [2025/09/12:00:00:10 +0000]   GET /notfound HTTP/1.1   200 592   -     Go-http-client/1.1  
 2025-09-12T00:00:10.000000938Z ,app, stdout , INFO request handled ok 20
 2025-09-12T00:00:11.000000221Z ,nginx, stdout , 172.17.0.86 - - [2025/09/12:00:00:11 +0000]   GET /health HTTP/1.1   200 1507   -     curl/8.4.0  
 2025-09-12T00:00:11.000000309Z ,app, stdout , INFO request handled ok 23
 2025-09-12T00:00:11.000000323Z ,app, stdout , INFO request handled ok 22
 2025-09-12T00:00:11.000000361Z ,nginx, stdout , 172.17.0.70 - - [2025/09/12:00:00:11 +0000]   GET /login HTTP/1.1   404 1574   -     Go-http-client/1.1  
 2025-09-12T00:00:11.000000973Z ,nginx, stdout , 172.17.0.26 - - [2025/09/12:00:00:11 +0000]   GET / HTTP/1.1   200 1147   -     k6/0.50  
 2025-09-12T00:00:12.000000030Z ,app, stdout , INFO request handled ok 25
 2025-09-12T00:00:12.000000205Z ,nginx, stdout , 172.17.0.45 - - [2025/09/12:00:00:12 +0000]   GET /health HTTP/1.1   200 1324   -     Go-http-client/1.1  
 2025-09-12T00:00:12.000000600Z ,app, stdout , INFO request handled ok 24
 2025-09-12T00:00:12.000000630Z ,nginx, stdout , 172.17.0.31 - - [2025/09/12:00:00:12 +0000]   GET /api HTTP/1.1   200 931   -     Go-http-client/1.1  
 2025-09-12T00:00:12.000000764Z ,nginx, stdout , 172.17.0.14 - - [2025/09/12:00:00:12 +0000]   GET /notfound HTTP/1.1   500 172   -     k6/0.50  
 2025-09-12T00:00:13.000000143Z ,app, stdout , INFO request handled ok 26
 2025-09-12T00:00:13.000000360Z ,nginx, stdout , 172.17.0.185 - - [2025/09/12:00:00:13 +0000]   GET /api HTTP/1.1   200 1205   -     k6/0.50  
 2025-09-12T00:00:13.000000502Z ,nginx, stdout , 172.17.0.239 - - [2025/09/12:00:00:13 +0000]   GET /health HTTP/1.1   200 1511   -     curl/8.4.0  
 2025-09-12T00:00:13.000000855Z ,app, stdout , INFO request handled ok 27
 2025-09-12T00:00:13.000000900Z ,nginx, stdout , 172.17.0.116 - - [2025/09/12:00:00:13 +0000]   GET /health HTTP/1.1   200 1715   -     curl/8.4.0  
 2025-09-12T00:00:14.000000287Z ,nginx, stdout , 172.17.0.12 - - [2025/09/12:00:00:14 +0000]   GET /notfound HTTP/1.1   200 708   -     Go-http-client/1.1  
 2025-09-12T00:00:14.000000343Z ,app, stdout , INFO request handled ok 28
 2025-09-12T00:00:14.000000690Z ,app, stdout , INFO request handled ok 29
 2025-09-12T00:00:14.000000704Z ,nginx, stdout , 172.17.0.233 - - [2025/09/12:00:00:14 +0000]   GET / HTTP/1.1   200 1887   -     Go-http-client/1.1  
 2025-09-12T00:00:14.000000838Z ,nginx, stdout , 172.17.0.68 - - [2025/09/12:00:00:14 +0000]   GET /notfound HTTP/1.1   404 1038   -     k6/0.50  
 2025-09-12T00:00:15.000000037Z ,nginx, stdout , 172.17.0.73 - - [2025/09/12:00:00:15 +0000]   GET /login HTTP/1.1   200 46   -     Mozilla/5.0  
 2025-09-12T00:00:15.000000174Z ,nginx, stdout , 172.17.0.27 - - [2025/09/12:00:00:15 +0000]   GET / HTTP/1.1   200 1882   -     Go-http-client/1.1  
 2025-09-12T00:00:15.000000379Z ,app, stdout , INFO request handled ok 31
 2025-09-12T00:00:15.000000590Z ,app, stdout , INFO request handled ok 30
 2025-09-12T00:00:15.000000938Z ,nginx, stdout , 172.17.0.53 - - [2025/09/12:00:00:15 +0000]   GET /health HTTP/1.1   200 913   -     Go-http-client/1.1  
 2025-09-12T00:00:16.000000093Z ,app, stdout , INFO request handled ok 32
 2025-09-12T00:00:16.000000114Z ,app, stdout , INFO request handled ok 33
 2025-09-12T00:00:16.000000594Z ,nginx, stdout , 172.17.0.195 - - [2025/09/12:00:00:16 +0000]   GET /static/logo.png HTTP/1.1   200 1764   -     k6/0.50  
 2025-09-12T00:00:16.000000651Z ,nginx, stdout , 172.17.0.196 - - [2025/09/12:00:00:16 +0000]   GET /notfound HTTP/1.1   200 2019   -     curl/8.4.0  
 2025-09-12T00:00:16.000000974Z ,nginx, stdout , 172.17.0.224 - - [2025/09/12:00:00:16 +0000]   GET /notfound HTTP/1.1   200 843   -     Go-http-client/1.1  
 2025-09-12T00:00:17.000000126Z ,nginx, stdout , 172.17.0.235 - - [2025/09/12:00:00:17 +0000]   GET /login HTTP/1.1   200 558   -     Go-http-client/1.1  
 2025-09-12T00:00:17.000000341Z ,nginx, stdout , 172.17.0.13 - - [2025/09/12:00:00:17 +0000]   GET /api HTTP/1.1   404 728   -     Go-http-client/1.1  
 2025-09-12T00:00:17.000000507Z ,app, stdout , INFO request handled ok 35
 2025-09-12T00:00:17.000000827Z ,app, stdout , INFO request handled ok 34
 2025-09-12T00:00:17.000000831Z ,nginx, stderr , [error] 12#12: *1 upstream timed out (110: Connection timed out) while reading response header from upstream
 2025-09-12T00:00:18.000000087Z ,app, stdout , INFO request handled ok 36
 2025-09-12T00:00:18.000000241Z ,nginx, stdout , 172.17.0.218 - - [2025/09/12:00:00:18 +0000]   GET /api HTTP/1.1   200 2016   -     k6/0.50  
 2025-09-12T00:00:18.000000588Z ,nginx, stdout , 172.17.0.139 - - [2025/09/12:00:00:18 +0000]   GET /health HTTP/1.1   200 726   -     Mozilla/5.0  
 2025-09-12T00:00:18.000000789Z ,nginx, stdout , 172.17.0.236 - - [2025/09/12:00:00:18 +0000]   GET /api HTTP/1.1   200 50   -     k6/0.50  
 2025-09-12T00:00:18.000000987Z ,app, stderr , ERROR fatal: cannot allocate resource
 2025-09-12T00:00:19.000000017Z ,nginx, stdout , 172.17.0.70 - - [2025/09/12:00:00:19 +0000]   GET /api HTTP/1.1   200 163   -     k6/0.50  
 2025-09-12T00:00:19.000000550Z ,nginx, stdout , 172.17.0.2 - - [2025/09/12:00:00:19 +0000]   GET /api HTTP/1.1   200 560   -     k6/0.50  
 2025-09-12T00:00:19.000000716Z ,app, stdout , INFO request handled ok 39
 2025-09-12T00:00:19.000000862Z ,nginx, stdout , 172.17.0.199 - - [2025/09/12:00:00:19 +0000]   GET /static/logo.png HTTP/1.1   200 832   -     curl/8.4.0  
 2025-09-12T00:00:19.000000882Z ,app, stdout , INFO request handled ok 38
 2025-09-12T00:00:20.000000161Z ,app, stdout , INFO request handled ok 40
 2025-09-12T00:00:20.000000174Z ,app, stdout , INFO request handled ok 41
 2025-09-12T00:00:20.000000368Z ,nginx, stdout , 172.17.0.117 - - [2025/09/12:00:00:20 +0000]   GET /static/logo.png HTTP/1.1   404 1975   -     Go-http-client/1.1  
 2025-09-12T00:00:20.000000559Z ,nginx, stdout , 172.17.0.102 - - [2025/09/12:00:00:20 +0000]   GET /static/logo.png HTTP/1.1   200 835   -     curl/8.4.0  
 2025-09-12T00:00:20.000000563Z ,nginx, stdout , 172.17.0.158 - - [2025/09/12:00:00:20 +0000]   GET / HTTP/1.1   404 1113   -     curl/8.4.0  
 2025-09-12T00:00:21.000000068Z ,nginx, stdout , 172.17.0.89 - - [2025/09/12:00:00:21 +0000]   GET / HTTP/1.1   200 586   -     curl/8.4.0  
 2025-09-12T00:00:21.000000469Z ,app, stdout , INFO request handled ok 43
 2025-09-12T00:00:21.000000703Z ,app, stdout , INFO request handled ok 42
 2025-09-12T00:00:21.000000812Z ,nginx, stderr , [error] 12#12: *1 upstream timed out (110: Connection timed out) while reading response header from upstream
 2025-09-12T00:00:21.000000888Z ,nginx, stdout , 172.17.0.148 - - [2025/09/12:00:00:21 +0000]   GET /health HTTP/1.1   200 570   -     Mozilla/5.0  
