2025/12/17 22:53:22 Starting supervisor with config: config/config.json, workers: 4
2025/12/17 22:53:22 Starting 4 workers
2025/12/17 22:53:22 Started worker 0 with PID 4957 (nice=0, cpus=)
2025/12/17 22:53:22 Started worker 1 with PID 4958 (nice=0, cpus=)
2025/12/17 22:53:22 Started worker 2 with PID 4962 (nice=0, cpus=)
2025/12/17 22:53:22 Started worker 3 with PID 4966 (nice=0, cpus=)
2025/12/17 22:53:22 Supervisor main loop started
2025/12/17 22:53:22 [worker 1] Started, PID=4958, mode=heavy, nice=0, affinity=[0 1]
2025/12/17 22:53:22 [worker 0] Started, PID=4957, mode=heavy, nice=0, affinity=[0 1]
2025/12/17 22:53:22 [worker 2] Started, PID=4962, mode=heavy, nice=0, affinity=[0 1]
2025/12/17 22:53:22 [worker 3] Started, PID=4966, mode=heavy, nice=0, affinity=[0 1]
2025/12/17 22:53:23 [worker 2] tick=10 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=10 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 3] tick=10 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 1] tick=10 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 2] tick=20 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=20 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 3] tick=20 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 1] tick=20 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 2] tick=30 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=30 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 1] tick=30 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 3] tick=30 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 2] tick=40 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 1] tick=40 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=40 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 3] tick=40 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 2] tick=50 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 3] tick=50 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=50 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 1] tick=50 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 2] tick=60 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 1] tick=60 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 3] tick=60 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=60 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 2] tick=70 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 1] tick=70 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 3] tick=70 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:23 [worker 0] tick=70 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:23 [worker 2] tick=80 mode=heavy work_us=9000 sleep_us=1000 cpu=1
