mode,fs,count,secs,files_per_s
native,source,100,.080525607,1241.84099599522422724488
native,source,500,.342233041,1460.99277421901528204578
native,source,1000,.675549106,1480.27729016045800229361
fuse_fuse_fuse_passthrough,fuse,100,.091792562,1089.41288728818790350355
fuse_fuse_fuse_passthrough,fuse,500,.455697354,1097.21944973154265890251
fuse_fuse_fuse_passthrough,fuse,1000,.892062790,1120.99732351800034165756
fuse_fuse_fuse_rot13,fuse,100,.096387128,1037.48293029334788354727
fuse_fuse_fuse_rot13,fuse,500,.501887432,996.23933201021060834215
fuse_fuse_fuse_rot13,fuse,1000,.969766327,1031.17624540906543561601
fuse_fuse_fuse_uppercase,fuse,100,.102393064,976.62865133130501886338
fuse_fuse_fuse_uppercase,fuse,500,.487359457,1025.93679637984330731885
fuse_fuse_fuse_uppercase,fuse,1000,.997476045,1002.53034146799986560078
