mode,fs,operation,iter_no,time_sec
native,source,open,1,0.000004997
native,source,open,2,0.000005496
native,source,open,3,0.000004611
native,source,open,4,0.000005940
native,source,open,5,0.000004582
native,source,open,6,0.000005410
native,source,open,7,0.000005756
native,source,open,8,0.000007410
native,source,open,9,0.000004029
native,source,open,10,0.000004527
native,source,open,11,0.000004570
native,source,open,12,0.000005222
native,source,open,13,0.000004761
native,source,open,14,0.000004990
native,source,open,15,0.000004285
native,source,open,16,0.000005499
native,source,open,17,0.000005503
native,source,open,18,0.000005110
native,source,open,19,0.000005731
native,source,open,20,0.000005397
native,source,open,21,0.000005139
native,source,open,22,0.000004314
native,source,open,23,0.000004577
native,source,open,24,0.000005378
native,source,open,25,0.000008923
native,source,open,26,0.000004816
native,source,open,27,0.000004493
native,source,open,28,0.000004261
native,source,open,29,0.000005365
native,source,open,30,0.000005878
native,source,open,31,0.000004000
native,source,open,32,0.000005028
native,source,open,33,0.000004841
native,source,open,34,0.000007974
native,source,open,35,0.000004810
native,source,open,36,0.000004564
native,source,open,37,0.000004409
native,source,open,38,0.000005679
native,source,open,39,0.000005152
native,source,open,40,0.000004717
native,source,open,41,0.000004476
native,source,open,42,0.000004621
native,source,open,43,0.000004447
native,source,open,44,0.000005834
native,source,open,45,0.000005311
native,source,open,46,0.000004409
native,source,open,47,0.000005371
native,source,open,48,0.000005538
native,source,open,49,0.000004467
native,source,open,50,0.000004515
native,source,read,1,0.000015897
native,source,read,2,0.000003648
native,source,read,3,0.000002660
native,source,read,4,0.000003418
native,source,read,5,0.000002811
native,source,read,6,0.000002724
native,source,read,7,0.000002693
native,source,read,8,0.000003020
native,source,read,9,0.000002741
native,source,read,10,0.000003130
native,source,read,11,0.000002627
native,source,read,12,0.000003044
native,source,read,13,0.000003002
native,source,read,14,0.000002862
native,source,read,15,0.000002856
native,source,read,16,0.000002723
native,source,read,17,0.000002808
native,source,read,18,0.000002751
native,source,read,19,0.000003050
native,source,read,20,0.000003398
native,source,read,21,0.000002655
native,source,read,22,0.000002437
native,source,read,23,0.000014768
native,source,read,24,0.000002618
native,source,read,25,0.000002560
native,source,read,26,0.000003301
native,source,read,27,0.000002874
native,source,read,28,0.000002880
native,source,read,29,0.000002801
native,source,read,30,0.000002584
native,source,read,31,0.000002464
native,source,read,32,0.000003345
native,source,read,33,0.000002730
native,source,read,34,0.000002430
native,source,read,35,0.000002748
native,source,read,36,0.000002652
native,source,read,37,0.000004043
native,source,read,38,0.000002840
native,source,read,39,0.000003495
native,source,read,40,0.000002961
native,source,read,41,0.000002714
native,source,read,42,0.000002737
native,source,read,43,0.000002853
native,source,read,44,0.000004159
native,source,read,45,0.000003750
native,source,read,46,0.000002936
native,source,read,47,0.000003423
native,source,read,48,0.000002613
native,source,read,49,0.000002610
native,source,read,50,0.000003740
native,source,write,1,0.000098430
native,source,write,2,0.000019787
native,source,write,3,0.000016192
native,source,write,4,0.000017577
native,source,write,5,0.000020794
native,source,write,6,0.000017001
native,source,write,7,0.000019036
native,source,write,8,0.000021271
native,source,write,9,0.000019144
native,source,write,10,0.000017739
native,source,write,11,0.000020798
native,source,write,12,0.000036396
native,source,write,13,0.000014960
native,source,write,14,0.000018340
native,source,write,15,0.000021298
native,source,write,16,0.000017265
native,source,write,17,0.000018405
native,source,write,18,0.000019771
native,source,write,19,0.000018321
native,source,write,20,0.000019831
native,source,write,21,0.000020864
native,source,write,22,0.000019487
native,source,write,23,0.000017042
native,source,write,24,0.000020089
native,source,write,25,0.000017296
native,source,write,26,0.000017822
native,source,write,27,0.000016641
native,source,write,28,0.000037249
native,source,write,29,0.000017231
native,source,write,30,0.000024480
native,source,write,31,0.000019901
native,source,write,32,0.000018816
native,source,write,33,0.000016445
native,source,write,34,0.000017675
native,source,write,35,0.000016392
native,source,write,36,0.000020089
native,source,write,37,0.000039037
native,source,write,38,0.000020205
native,source,write,39,0.000006999
native,source,write,40,0.000020509
native,source,write,41,0.000020345
native,source,write,42,0.000017598
native,source,write,43,0.000015887
native,source,write,44,0.000021440
native,source,write,45,0.000017151
native,source,write,46,0.000020070
native,source,write,47,0.000018799
native,source,write,48,0.000024676
