mode,fs,count,secs,files_per_s
native,source,100,.068926364,1450.82366451246434528303
native,source,500,.331299410,1509.20884525571597003447
native,source,1000,.668006757,1496.99084555816850816675
tmpfs,tmpfs,100,.065238889,1532.82806517443912939719
tmpfs,tmpfs,500,.332980829,1501.58794877647445583120
tmpfs,tmpfs,1000,.638153059,1567.02218362319250435497
fuse_fuse_fuse_passthrough,fuse,100,.111870261,893.89261369471552408374
fuse_fuse_fuse_passthrough,fuse,500,.556110510,899.10187095726710865435
fuse_fuse_fuse_passthrough,fuse,1000,1.078343184,927.34856104955915407353
fuse_fuse_fuse_rot13,fuse,100,.107353626,931.50090710489834782106
fuse_fuse_fuse_rot13,fuse,500,.527781449,947.36183120373372577557
fuse_fuse_fuse_rot13,fuse,1000,1.068920018,935.52369041703174465201
fuse_fuse_fuse_uppercase,fuse,100,.114199053,875.66400397383330315357
fuse_fuse_fuse_uppercase,fuse,500,.534801986,934.92547351909048445455
fuse_fuse_fuse_uppercase,fuse,1000,1.052905574,949.75278381421124473978
