mode,fs,operation,iter_no,time_sec
native,source,open,1,0.000006760
native,source,open,2,0.000005206
native,source,open,3,0.000020321
native,source,open,4,0.000006132
native,source,open,5,0.000006024
native,source,open,6,0.000044082
native,source,open,7,0.000004639
native,source,open,8,0.000005580
native,source,open,9,0.000007055
native,source,open,10,0.000004765
native,source,open,11,0.000006477
native,source,open,12,0.000004901
native,source,open,13,0.000004540
native,source,open,14,0.000006984
native,source,open,15,0.000008189
native,source,open,16,0.000004850
native,source,open,17,0.000004881
native,source,open,18,0.000006049
native,source,open,19,0.000007355
native,source,open,20,0.000005367
native,source,open,21,0.000009918
native,source,open,22,0.000005223
native,source,open,23,0.000006715
native,source,open,24,0.000004835
native,source,open,25,0.000006170
native,source,open,26,0.000005896
native,source,open,27,0.000004954
native,source,open,28,0.000007110
native,source,open,29,0.000005100
native,source,open,30,0.000005151
native,source,open,31,0.000005681
native,source,open,32,0.000006637
native,source,open,33,0.000004706
native,source,open,34,0.000007004
native,source,open,35,0.000004950
native,source,open,36,0.000004846
native,source,open,37,0.000005326
native,source,open,38,0.000004961
native,source,open,39,0.000004657
native,source,open,40,0.000009398
native,source,open,41,0.000004610
native,source,open,42,0.000020359
native,source,open,43,0.000006985
native,source,open,44,0.000006198
native,source,open,45,0.000004776
native,source,open,46,0.000005240
native,source,open,47,0.000006010
native,source,open,48,0.000006755
native,source,open,49,0.000004779
native,source,open,50,0.000007550
native,source,open,51,0.000004799
native,source,open,52,0.000005337
native,source,open,53,0.000004920
native,source,open,54,0.000005186
native,source,open,55,0.000004618
native,source,open,56,0.000004962
native,source,open,57,0.000005049
native,source,open,58,0.000005775
native,source,open,59,0.000005515
native,source,open,60,0.000007724
native,source,open,61,0.000005268
native,source,open,62,0.000004777
native,source,open,63,0.000006727
native,source,open,64,0.000005856
native,source,open,65,0.000004177
native,source,open,66,0.000007465
native,source,open,67,0.000005206
native,source,open,68,0.000004503
native,source,open,69,0.000004360
native,source,open,70,0.000004960
native,source,open,71,0.000004874
native,source,open,72,0.000004481
native,source,open,73,0.000004839
native,source,open,74,0.000004937
native,source,open,75,0.000004705
native,source,open,76,0.000004698
native,source,open,77,0.000005460
native,source,open,78,0.000004827
native,source,open,79,0.000025865
native,source,open,80,0.000005040
native,source,open,81,0.000004976
native,source,open,82,0.000021539
native,source,open,83,0.000008981
native,source,open,84,0.000007707
native,source,open,85,0.000006172
native,source,open,86,0.000005845
native,source,open,87,0.000004407
native,source,open,88,0.000004305
native,source,open,89,0.000004663
native,source,open,90,0.000004559
native,source,open,91,0.000004504
native,source,open,92,0.000004858
native,source,open,93,0.000004738
native,source,open,94,0.000004403
native,source,open,95,0.000022375
native,source,open,96,0.000004720
native,source,open,97,0.000004973
native,source,open,98,0.000005278
native,source,open,99,0.000004773
native,source,open,100,0.000004264
native,source,open,101,0.000004855
native,source,open,102,0.000006610
native,source,open,103,0.000005175
native,source,open,104,0.000004452
native,source,open,105,0.000004304
native,source,open,106,0.000004622
native,source,open,107,0.000006063
native,source,open,108,0.000004402
