mode,fs,size_mb,secs,mb_per_s
native,source,1.000,0.000563,1776.641
native,source,10.000,0.003485,2869.674
native,source,100.000,0.018709,5345.090
tmpfs,tmpfs,1.000,0.001960,510.115
tmpfs,tmpfs,10.000,0.004237,2360.055
tmpfs,tmpfs,100.000,0.017945,5572.558
fuse_fuse_passthrough,fuse,1.000,0.002464,405.837
fuse_fuse_passthrough,fuse,10.000,0.006873,1454.878
fuse_fuse_passthrough,fuse,100.000,0.062821,1591.830
fuse_fuse_rot13,fuse,1.000,0.002941,339.974
fuse_fuse_rot13,fuse,10.000,0.014290,699.775
fuse_fuse_rot13,fuse,100.000,0.126951,787.707
fuse_fuse_uppercase,fuse,1.000,0.003747,266.861
fuse_fuse_uppercase,fuse,10.000,0.020315,492.253
fuse_fuse_uppercase,fuse,100.000,0.187094,534.490
