test,fs,value,unit
open,ext4,3.718000,ms
getattr,ext4,1.750000,ms
read_4k,ext4,2.694000,ms
write_4k,ext4,3.056000,ms
open,fuse,4.268000,ms
getattr,fuse,1.600000,ms
read_4k,fuse,3.808000,ms
write_4k,fuse,3.892000,ms
throughput_write_1MB,ext4,142.857,MB/s
throughput_read_1MB,ext4,250.000,MB/s
throughput_write_10MB,ext4,714.286,MB/s
throughput_read_10MB,ext4,1666.667,MB/s
throughput_write_100MB,ext4,1538.462,MB/s
throughput_read_100MB,ext4,3125.000,MB/s
throughput_write_1MB,fuse,142.857,MB/s
throughput_read_1MB,fuse,250.000,MB/s
throughput_write_10MB,fuse,434.783,MB/s
throughput_read_10MB,fuse,769.231,MB/s
throughput_write_100MB,fuse,450.450,MB/s
throughput_read_100MB,fuse,943.396,MB/s
iops_create_1k,ext4,15873.016,ops/s
iops_delete_1k,ext4,774.593,ops/s
iops_create_1k,fuse,1050.420,ops/s
iops_delete_1k,fuse,409.500,ops/s
